log,tiempo,nivel,proveedor,event_id,tarea,mensaje,categoria,url_busqueda
System,2026-08-17T20:18:25.8697294Z,2,Service Control Manager,7000,,"El servicio AntiSuspensionService no pudo iniciarse debido al siguiente error: 
El servicio no respondi a tiempo a la solicitud de inicio o de control.",general,https://www.bing.com/search?q=Windows%20Event%20ID%207000%20Service%20Control%20Manager
System,2026-08-17T20:18:25.8697294Z,2,Service Control Manager,7009,,Se agot el tiempo de espera (45000 ms) para la conexin con el servicio AntiSuspensionService.,general,https://www.bing.com/search?q=Windows%20Event%20ID%207009%20Service%20Control%20Manager
System,2026-08-16T03:20:23.4792145Z,2,Volsnap,36,,Se anularon las instantneas del volumen C: porque el almacenamiento de instantneas no pudo crecer debido a un lmite impuesto por el usuario.,general,https://www.bing.com/search?q=Windows%20Event%20ID%2036%20Volsnap
System,2026-08-16T03:11:06.5922169Z,2,Service Control Manager,7000,,"El servicio AntiSuspensionService no pudo iniciarse debido al siguiente error: 
El servicio no respondi a tiempo a la solicitud de inicio o de control.",general,https://www.bing.com/search?q=Windows%20Event%20ID%207000%20Service%20Control%20Manager
System,2026-08-16T03:11:06.5922169Z,2,Service Control Manager,7009,,Se agot el tiempo de espera (45000 ms) para la conexin con el servicio AntiSuspensionService.,general,https://www.bing.com/search?q=Windows%20Event%20ID%207009%20Service%20Control%20Manager
System,2026-08-16T03:10:33.7812636Z,2,Service Control Manager,7000,,"El servicio AntiSuspensionService no pudo iniciarse debido al siguiente error: 
El servicio no respondi a tiempo a la solicitud de inicio o de control.",general,https://www.bing.com/search?q=Windows%20Event%20ID%207000%20Service%20Control%20Manager
System,2026-08-16T03:10:33.7812636Z,2,Service Control Manager,7009,,Se agot el tiempo de espera (45000 ms) para la conexin con el servicio AntiSuspensionService.,general,https://www.bing.com/search?q=Windows%20Event%20ID%207009%20Service%20Control%20Manager
System,2026-08-16T03:10:06.3804959Z,2,Service Control Manager,7023,,"El servicio Servicio orquestador de actualizaciones se cerr con el siguiente error: 
Se est cerrando el sistema.",general,https://www.bing.com/search?q=Windows%20Event%20ID%207023%20Service%20Control%20Manager
System,2026-08-16T03:10:05.9127736Z,2,Service Control Manager,7023,,"El servicio Servicio de plataforma de dispositivos conectados se cerr con el siguiente error: 
Error no especificado",general,https://www.bing.com/search?q=Windows%20Event%20ID%207023%20Service%20Control%20Manager
System,2026-08-16T03:10:05.6703224Z,2,Service Control Manager,7024,,"El servicio Servicio de transferencia inteligente en segundo plano (BITS) se cerr con el error especfico de servicio 
Se est cerrando el sistema.",general,https://www.bing.com/search?q=Windows%20Event%20ID%207024%20Service%20Control%20Manager
System,2026-08-16T03:10:05.6702444Z,2,Microsoft-Windows-Bits-Client,16392,,Error al iniciar el servicio BITS. Error 0x8007045B.,general,https://www.bing.com/search?q=Windows%20Event%20ID%2016392%20Microsoft-Windows-Bits-Client
